aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenateaddnnrelu,aggregated_percentage_concatenateaddnnrelu,aggregated_count_concatenateaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransform,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransform,aggregated_count_nncontribconv2dwinogradwithoutweighttransform,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
355983.8860000001,42.23028430000001,59.0,842958.8989999992,100.00001691999998,191.0,974.704,0.115629,1.0,6438.491999999999,0.7637969000000001,24.0,412422.14700000006,48.9255399,58.0,12742.092999999999,1.51159245,38.0,49894.2,5.91894,3.0,951.2950000000001,0.1128519,3.0,484.84299999999996,0.05751687,3.0,74.649,0.0088556,1.0,2992.59,0.35501,1.0,densenet121.onnx
353174.767,43.33514710000001,59.0,814984.7740000006,100.00000750000002,191.0,978.162,0.120022,1.0,6430.0830000000005,0.7889823300000002,24.0,388462.0270000002,47.664929699999995,58.0,12752.257,1.5647245700000008,38.0,48688.5,5.97417,3.0,952.982,0.1169325,3.0,490.433,0.06017699000000001,3.0,74.973,0.00919931,1.0,2980.59,0.365723,1.0,densenet121.onnx
353502.8800000001,42.03247050000001,59.0,841023.5450000003,100.00000871000006,191.0,976.127,0.116064,1.0,6428.408999999999,0.7643557499999999,24.0,413196.8140000001,49.13022060000001,58.0,12752.070000000003,1.5162558400000001,38.0,49691.3,5.908440000000001,3.0,946.174,0.1125026,3.0,483.562,0.057496900000000004,3.0,75.789,0.00901152,1.0,2970.42,0.353191,1.0,densenet121.onnx
367081.68899999995,43.78110129999998,59.0,838447.1350000002,99.99998958999994,191.0,975.877,0.116391,1.0,6443.25,0.76847443,24.0,396820.9839999998,47.32810339999999,58.0,12743.952000000001,1.5199470499999999,38.0,49924.6,5.954420000000001,3.0,939.229,0.1120201,3.0,472.92499999999995,0.056404989999999995,3.0,74.549,0.00889132,1.0,2970.08,0.354236,1.0,densenet121.onnx
354484.489,42.1735018,59.0,840537.6419999998,99.99997094000001,191.0,978.515,0.116415,1.0,6452.848000000001,0.76770521,24.0,412204.46599999996,49.0405871,58.0,12738.016999999998,1.5154604600000001,38.0,49188.3,5.852,3.0,944.4269999999999,0.11236,3.0,483.502,0.05752299,3.0,76.408,0.00909038,1.0,2986.67,0.355328,1.0,densenet121.onnx
353831.8369999998,43.29525540000001,59.0,817253.2970000003,99.99997359999996,191.0,974.364,0.119224,1.0,6445.055,0.7886238,24.0,389743.269,47.68937329999999,58.0,12732.812000000002,1.5580004200000002,38.0,49023.9,5.99862,3.0,949.2979999999999,0.11615709999999999,3.0,490.65,0.06003649,3.0,74.902,0.00916509,1.0,2987.21,0.365518,1.0,densenet121.onnx
355400.05700000015,42.1534186,59.0,843111.6849999985,100.00001950000006,191.0,972.246,0.115316,1.0,6436.573,0.7634304500000001,24.0,412058.72400000005,48.87354539999999,58.0,12755.352000000006,1.51289033,38.0,51031.8,6.05279,3.0,946.173,0.11222390000000002,3.0,485.84200000000004,0.05762479,3.0,73.958,0.00877203,1.0,2950.96,0.350008,1.0,densenet121.onnx
365400.6409999999,44.187265700000026,59.0,826935.2470000001,99.99997962000005,191.0,968.321,0.117098,1.0,6451.906,0.7802190500000001,24.0,388806.41599999997,47.01779649999999,58.0,12726.347,1.5389769500000003,38.0,48103.399999999994,5.81708,3.0,951.0640000000001,0.1150107,3.0,490.31800000000004,0.059293410000000005,3.0,74.344,0.00899031,1.0,2962.49,0.358249,1.0,densenet121.onnx
354793.23299999983,42.1054834,59.0,842630.6210000002,100.00003882,191.0,979.223,0.11621,1.0,6430.1810000000005,0.7631077399999999,24.0,413246.3499999999,49.04239799999999,58.0,12753.319999999992,1.5135118200000002,38.0,49943.600000000006,5.927099999999999,3.0,949.2470000000001,0.11265279999999998,3.0,487.81600000000003,0.05789205,3.0,72.281,0.00857801,1.0,2975.37,0.353105,1.0,densenet121.onnx
353749.64199999993,43.39105659999998,59.0,815259.3340000003,99.99998314999995,191.0,975.789,0.119691,1.0,6423.871000000001,0.7879539299999999,24.0,390376.48899999994,47.88370520000002,58.0,12754.021999999997,1.5644123599999997,38.0,46495.4,5.703139999999999,3.0,944.9390000000001,0.1159065,3.0,477.671,0.05859121999999999,3.0,74.061,0.00908434,1.0,2987.45,0.366442,1.0,densenet121.onnx
