Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 104, 14, 14], float32[624, 104, 1, 1], float32[1, 624, 14, 14]",1,"opencl0",1858.27,"1b024a86473e2bcc","tvmgen_default_fused_nn_conv2d_17",0.948063,"NCHW","OIHW",""
"float32[1, 624, 14, 14], float32[624], float32[1, 624, 14, 14]",1,"opencl0",162.657,"2264339443e2f675","tvmgen_default_fused_nn_bias_add_12",0.0829852,,,
"float32[1, 624, 14, 14], float32[1, 624, 14, 14]",1,"opencl0",152.959,"89cf9a8eeb284c0a","tvmgen_default_fused_nn_relu_8",0.0780374,,,
"float32[1, 624, 14, 14], float32[624, 1, 5, 5], float32[1, 624, 14, 14]",1,"opencl0",2027.63,"8e63e15a8aee3887","tvmgen_default_fused_nn_conv2d_18",1.03447,"NCHW","OIHW",""
"float32[1, 624, 14, 14], float32[624], float32[1, 624, 14, 14]",1,"opencl0",160.01,"2264339443e2f675","tvmgen_default_fused_nn_bias_add_12",0.0816347,,,
"float32[1, 624, 14, 14], float32[1, 624, 14, 14]",1,"opencl0",153.696,"89cf9a8eeb284c0a","tvmgen_default_fused_nn_relu_8",0.0784134,,,
"float32[1, 624, 14, 14], float32[104, 624, 1, 1], float32[1, 104, 14, 14]",1,"opencl0",3106.18,"43c6af025f919962","tvmgen_default_fused_nn_conv2d_19",1.58473,"NCHW","OIHW",""
"float32[1, 104, 14, 14], float32[104], float32[1, 104, 14, 14]",1,"opencl0",24.563,"bf2f3824c9f86ab3","tvmgen_default_fused_nn_bias_add_11",0.0125317,,,
"float32[1, 104, 14, 14], float32[1, 104, 14, 14], float32[1, 104, 14, 14]",1,"opencl0",38.569,"7426bee33213f433","tvmgen_default_fused_add_2",0.0196773,,,
"float32[1, 104, 14, 14], float32[624, 104, 1, 1], float32[1, 624, 14, 14]",1,"opencl0",1849.24,"1b024a86473e2bcc","tvmgen_default_fused_nn_conv2d_17",0.943455,"NCHW","OIHW",""
"float32[1, 624, 14, 14], float32[624], float32[1, 624, 14, 14]",1,"opencl0",159.648,"2264339443e2f675","tvmgen_default_fused_nn_bias_add_12",0.08145,,,
"float32[1, 624, 14, 14], float32[1, 624, 14, 14]",1,"opencl0",152.093,"89cf9a8eeb284c0a","tvmgen_default_fused_nn_relu_8",0.0775956,,,
"float32[1, 624, 14, 14], float32[624, 1, 3, 3], float32[1, 624, 14, 14]",1,"opencl0",1041.36,"c6465c035c105c6c","tvmgen_default_fused_nn_conv2d_20",0.531284,"NCHW","OIHW",""
"float32[1, 624, 14, 14], float32[624], float32[1, 624, 14, 14]",1,"opencl0",160.28,"2264339443e2f675","tvmgen_default_fused_nn_bias_add_12",0.0817725,,,
"float32[1, 624, 14, 14], float32[1, 624, 14, 14]",1,"opencl0",150.93,"89cf9a8eeb284c0a","tvmgen_default_fused_nn_relu_8",0.0770022,,,
"float32[1, 624, 14, 14], float32[128, 624, 1, 1], float32[1, 128, 14, 14]",1,"opencl0",2400.9,"f2e22465b6385d87","tvmgen_default_fused_nn_conv2d_21",1.22491,"NCHW","OIHW",""
"float32[1, 128, 14, 14], float32[128], float32[1, 128, 14, 14]",1,"opencl0",32.979,"cd917f908c8448a8","tvmgen_default_fused_nn_bias_add_13",0.0168254,,,
"float32[1, 128, 14, 14], float32[768, 128, 1, 1], float32[1, 768, 14, 14]",1,"opencl0",2663.82,"c3e420dc5c9337f1","tvmgen_default_fused_nn_conv2d_22",1.35904,"NCHW","OIHW",""
"float32[1, 768, 14, 14], float32[768], float32[1, 768, 14, 14]",1,"opencl0",201.146,"688f6ce0c7cb19ac","tvmgen_default_fused_nn_bias_add_14",0.102622,,,
"float32[1, 768, 14, 14], float32[1, 768, 14, 14]",1,"opencl0",190.244,"3887d38e8eb41c0a","tvmgen_default_fused_nn_relu_9",0.0970597,,,
"float32[1, 768, 14, 14], float32[768, 1, 3, 3], float32[1, 768, 14, 14]",1,"opencl0",1277.27,"d4185eccb5b18eff","tvmgen_default_fused_nn_conv2d_23",0.651645,"NCHW","OIHW",""
"float32[1, 768, 14, 14], float32[768], float32[1, 768, 14, 14]",1,"opencl0",198.99,"688f6ce0c7cb19ac","tvmgen_default_fused_nn_bias_add_14",0.101522,,,
"float32[1, 768, 14, 14], float32[1, 768, 14, 14]",1,"opencl0",193.241,"3887d38e8eb41c0a","tvmgen_default_fused_nn_relu_9",0.0985887,,,
"float32[1, 768, 14, 14], float32[128, 768, 1, 1], float32[1, 128, 14, 14]",1,"opencl0",4126.9,"c0c3c756142e05ea","tvmgen_default_fused_nn_conv2d_24",2.10548,"NCHW","OIHW",""
"float32[1, 128, 14, 14], float32[128], float32[1, 128, 14, 14]",1,"opencl0",31.289,"cd917f908c8448a8","tvmgen_default_fused_nn_bias_add_13",0.0159632,,,
"float32[1, 128, 14, 14], float32[1, 128, 14, 14], float32[1, 128, 14, 14]",1,"opencl0",45.709,"b410fbb5bcaba16e","tvmgen_default_fused_add_3",0.0233201,,,
"float32[1, 128, 14, 14], float32[768, 128, 1, 1], float32[1, 768, 14, 14]",1,"opencl0",2649.18,"c3e420dc5c9337f1","tvmgen_default_fused_nn_conv2d_22",1.35157,"NCHW","OIHW",""
"float32[1, 768, 14, 14], float32[768], float32[1, 768, 14, 14]",1,"opencl0",195.095,"688f6ce0c7cb19ac","tvmgen_default_fused_nn_bias_add_14",0.0995346,,,
"float32[1, 768, 14, 14], float32[1, 768, 14, 14]",1,"opencl0",189.779,"3887d38e8eb41c0a","tvmgen_default_fused_nn_relu_9",0.0968224,,,
"float32[1, 768, 14, 14], float32[768, 1, 5, 5], float32[1, 768, 7, 7]",1,"opencl0",1653.27,"5c8d29c1f0594db4","tvmgen_default_fused_nn_conv2d_25",0.843472,"NCHW","OIHW",""
