aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_clip,aggregated_percentage_clip,aggregated_count_clip,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad
93267.873,81.98988099999998,52.0,113755.33400000005,99.99999257999995,152.0,10559.836,9.2829365,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.262,0.0881383,1.0,mobilenet_v2.onnx,0.0,0.0,0.0,138.177,0.121469,1.0,473.7940000000001,0.41650298,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9215.391999999998,8.1010648,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93461.73500000002,82.00935199999999,52.0,113964.69399999996,99.99997821999996,152.0,10362.017999999996,9.092305000000003,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.204,0.0844156,1.0,mobilenet_v2.onnx,0.0,0.0,0.0,140.552,0.123329,1.0,465.644,0.40858652,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9438.541,8.281990100000002,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94385.80799999998,82.08876099999998,52.0,114980.162,99.99999129999996,152.0,10576.864,9.1988677,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.33,0.0872585,1.0,mobilenet_v2.onnx,0.0,0.0,0.0,139.108,0.120984,1.0,475.68799999999993,0.4137126999999999,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9302.364,8.0904074,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94167.52000000003,82.170051,52.0,114600.80199999998,100.00002101,152.0,10536.471,9.194067600000002,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.838,0.0845003,1.0,mobilenet_v2.onnx,0.0,0.0,0.0,138.558,0.120905,1.0,477.219,0.4164186100000001,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9184.195999999998,8.014078499999998,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94680.35000000002,82.08073699999998,52.0,115350.286,100.00002147000002,152.0,10540.711999999996,9.13800548,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.724,0.0873201,1.0,mobilenet_v2.onnx,0.0,0.0,0.0,143.125,0.124079,1.0,473.187,0.41021799,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9412.188000000002,8.1596619,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82165.23299999998,75.4436533,62.0,108909.35199999994,99.9999714,282.0,6862.431,6.301051120000005,62.0,3613.116,3.31754876,19.0,0.0,0.0,0.0,0.0,0.0,0.0,789.011,0.7244656,9.0,mobilenet_v3_large.onnx,0.0,0.0,0.0,3310.71,3.039877,2.0,3256.891,2.99045923,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2213.339,2.03227639,29.0,6698.621000000001,6.150639999999999,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82265.708,75.425684,62.0,109068.61399999994,100.00002650000005,282.0,6870.398000000003,6.299150200000001,62.0,3653.011,3.3492695900000005,19.0,0.0,0.0,0.0,0.0,0.0,0.0,800.5819999999999,0.7340164000000001,9.0,mobilenet_v3_large.onnx,0.0,0.0,0.0,3318.084,3.0422,2.0,3263.745000000001,2.99237895,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2209.1340000000005,2.02545294,29.0,6687.952,6.131874420000002,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82591.181,75.52860379999998,62.0,109350.82700000003,99.99997411000004,282.0,6821.130000000003,6.23783366,62.0,3648.4140000000007,3.33642894,19.0,0.0,0.0,0.0,0.0,0.0,0.0,803.6759999999999,0.7349517000000001,9.0,mobilenet_v3_large.onnx,0.0,0.0,0.0,3315.445,3.031939,2.0,3277.836,2.9975416200000007,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.527,2.0123552600000005,29.0,6692.618000000001,6.1203201300000005,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82717.60499999998,75.58585810000001,62.0,109435.329,100.00002796000004,282.0,6840.148999999998,6.250404490000002,62.0,3627.942000000001,3.31514698,19.0,0.0,0.0,0.0,0.0,0.0,0.0,799.5880000000001,0.7306486000000001,9.0,mobilenet_v3_large.onnx,0.0,0.0,0.0,3329.215,3.042177,2.0,3231.5059999999994,2.95289131,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2206.749,2.01648759,29.0,6682.575000000001,6.106413889999999,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82413.93400000004,75.49029380000002,62.0,109171.539,99.99998135000004,282.0,6861.251000000005,6.2848310000000005,62.0,3653.692,3.34674999,19.0,0.0,0.0,0.0,0.0,0.0,0.0,801.121,0.7338186999999999,9.0,mobilenet_v3_large.onnx,0.0,0.0,0.0,3293.35,3.0166690000000003,2.0,3235.755,2.9639195900000006,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205.058,2.0198105,29.0,6707.377999999999,6.143888769999999,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
